code,description,last_updated
A1001007Dr,essing for one wound                                                          Dr,2025-09-01
A2001007Dr,essing for two wounds                                                         Dr,2025-09-01
A3001007Dr,essing for three wounds                                                       Dr,2025-09-01
A4001007Dr,essing for four wounds                                                        Dr,2025-09-01
A5001007Dr,essing for five wounds                                                        Dr,2025-09-01
A6001007Dr,essing for six wounds                                                         Dr,2025-09-01
A7001007Dr,essing for seven wounds                                                       Dr,2025-09-01
A8001007Dr,essing for eight wounds                                                       Dr,2025-09-01
A9001007Dr,essing for nine or more wounds                                                Dr,2025-09-01
AA001007An,esthesia services performed personally by anesthesiologist                    An,2025-09-01
AB001007Au,diology service furnished personally by an audiologist without a              Au,2025-09-01
AB002008ph,ysician/npp order for non-acute hearing assessment unrelated to,2025-09-01
AB003008di,"sequilibrium, or hearing aids, or examinations for the purpose of",2025-09-01
AB004008pr,"escribing, fitting, or changing hearing aids; service may be performed once",2025-09-01
AB005008ev,"ery 12 months, per beneficiary",2025-09-01
AD001007Me,dical supervision by a physician: more than four concurrent anesthesia        Md,2025-09-01
AD002008pr,ocedures,2025-09-01
AE001007Re,gistered dietician                                                            Re,2025-09-01
AF001007Sp,ecialty physician                                                             Sp,2025-09-01
AG001007Pr,imary physician                                                               Pr,2025-09-01
AH001007Cl,inical psychologist                                                           Cl,2025-09-01
AI001007Pr,incipal physician of record                                                   Pr,2025-09-01
AJ001007Cl,inical social worker                                                          Cl,2025-09-01
AK001007No,n participating physician                                                     No,2025-09-01
AM001007Ph,"ysician, team member service                                                  Ph",2025-09-01
AO001007Al,ternate payment method declined by provider of service                        Pr,2025-09-01
AP001007De,termination of refractive state was not performed in the course of diagnostic No,2025-09-01
AP002008op,hthalmological examination,2025-09-01
AQ001007Ph,ysician providing a service in an unlisted health professional shortage area  Ph,2025-09-01
AQ002008(h,psa),2025-09-01
AR001007Ph,ysician provider services in a physician scarcity area                        Ph,2025-09-01
AS001007Ph,"ysician assistant, nurse practitioner, or clinical nurse specialist services  As",2025-09-01
AS002008fo,r assistant at surgery,2025-09-01
AT001007Ac,"ute treatment (this modifier should be used when reporting service 98940,     Ac",2025-09-01
AT00200898,"941, 98942)",2025-09-01
AU001007It,"em furnished in conjunction with a urological, ostomy, or tracheostomy supply Ur",2025-09-01
AV001007It,"em furnished in conjunction with a prosthetic device, prosthetic or orthotic  It",2025-09-01
AW001007It,em furnished in conjunction with a surgical dressing                          It,2025-09-01
AX001007It,em furnished in conjunction with dialysis services                            It,2025-09-01
AY001007It,em or service furnished to an esrd patient that is not for the treatment of   It,2025-09-01
AY002008es,rd,2025-09-01
AZ001007Ph,ysician providing a service in a dental health professional shortage area for Ph,2025-09-01
AZ002008th,e purpose of an electronic health record incentive payment,2025-09-01
BA001007It,em furnished in conjunction with parenteral enteral nutrition (pen) services  It,2025-09-01
BL001007Sp,ecial acquisition of blood and blood products                                 Sp,2025-09-01
BO001007Or,"ally administered nutrition, not by feeding tube                              Nu",2025-09-01
BP001007Th,e beneficiary has been informed of the purchase and rental options and has    Be,2025-09-01
BP002008el,ected to purchase the item,2025-09-01
BR001007Th,e beneficiary has been informed of the purchase and rental options and has    Be,2025-09-01
BR002008el,ected to rent the item,2025-09-01
BU001007Th,e beneficiary has been informed of the purchase and rental options and after  Be,2025-09-01
BU00200830,days has not informed the supplier of his/her decision,2025-09-01
CA001007Pr,ocedure payable only in the inpatient setting when performed emergently on an Pr,2025-09-01
CA002008ou,tpatient who expires prior to admission,2025-09-01
CB001007Se,rvice ordered by a renal dialysis facility (rdf) physician as part of the     Es,2025-09-01
CB002008es,"rd beneficiary's dialysis benefit, is not part of the composite rate, and is",2025-09-01
CB003008se,parately reimbursable,2025-09-01
CC001007Pr,ocedure code change (use 'cc' when the procedure code submitted was changed   Pr,2025-09-01
CC002008ei,ther for administrative reasons or because an incorrect code was filed),2025-09-01
CD001007Am,cc test has been ordered by an esrd facility or mcp physician that is part of Am,2025-09-01
CD002008th,e composite rate and is not separately billable,2025-09-01
CE001007Am,cc test has been ordered by an esrd facility or mcp physician that is a       Me,2025-09-01
CE002008co,mposite rate test but is beyond the normal frequency covered under the rate,2025-09-01
CE003008an,d is separately reimbursable based on medical necessity,2025-09-01
CF001007Am,cc test has been ordered by an esrd facility or mcp physician that is not     Am,2025-09-01
CF002008pa,rt of the composite rate and is separately billable,2025-09-01
