code,description,last_updated
4165545016,Campylobacter hepaticus,2025-09-01
338669018,TPN - Total parenteral nutrition,2025-09-01
26150013,Southern sennet,2025-09-01
529888018,Arthrodesis NOS,2025-09-01
5075817014,Metastatic malignant neoplasm to undescended testis (disorder),2025-09-01
2956283011,Transluminal intracardiac echocardiography for congenital heart disease (procedure),2025-09-01
796756011,Prefabricated post and core in addition to bridge retainer (procedure),2025-09-01
5181834019,Cupping of optic disc (finding),2025-09-01
3005639015,Magnetic resonance angiography of chest,2025-09-01
71598011,Vagus nerve jugular ganglion,2025-09-01
719771017,Legionella species DNA (substance),2025-09-01
551328013,Contraceptive IUD change due (finding),2025-09-01
605062017,Entire subcutaneous tissue of dorsal surface of third toe (body structure),2025-09-01
1774405017,"pT1a (IA): Tumor limited to one ovary; capsule intact, no tumor on ovarian surface. No malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary)",2025-09-01
2152374013,Lipoatrophic diabetes (disorder),2025-09-01
5147705012,Enterobacter sacchari,2025-09-01
290174012,Benign neoplasm of bile duct,2025-09-01
1222432016,"[M]Intraepithelial neoplasia, grade III, of cervix, vulva and vagina (morphologic abnormality)",2025-09-01
387573011,Human leucocyte antigen DRB3 allele,2025-09-01
2562508017,"Noncollision motor vehicle traffic accident involving fall from motor vehicle while in motion, other specified person injured (event)",2025-09-01
3034176014,Emergency asthma patient visit since last encounter,2025-09-01
87327013,Subphrenic abscess,2025-09-01
300860018,Acute rheumatic fever,2025-09-01
606349015,"[X]Occupant of three-wheeled motor vehicle injured in noncollision transport accident, person on outside of vehicle injured in traffic accident (finding)",2025-09-01
2720488010,Gestational proteinuria (disorder),2025-09-01
2661715013,Genus Zobellia (organism),2025-09-01
3678311013,Difenidol hydrochloride 25 mg oral tablet,2025-09-01
629697017,Plane wart (disorder),2025-09-01
1481513016,Potassium supplement,2025-09-01
3667798019,Product containing bovine insulin protamine zinc,2025-09-01
3742774010,Product containing only sodium propionate in cutaneous dose form (medicinal product form),2025-09-01
751942013,Warty dyskeratoma (morphologic abnormality),2025-09-01
405951012,Serum vitamin A level,2025-09-01
758236010,Fulguration of carcinoma of urethra (procedure),2025-09-01
1771608010,Skin graft hyperpigmentation (disorder),2025-09-01
5136836015,Pterois venom,2025-09-01
181913018,"Salmonella VI 11:b:1,7",2025-09-01
417450011,Entire gastrointestinal tract,2025-09-01
447938015,Under care of pediatrician,2025-09-01
544235014,On examination - apex beat (context-dependent category),2025-09-01
658969015,Multilobular portal cirrhosis (disorder),2025-09-01
3085146010,Cervical smear - 1st recall (procedure),2025-09-01
50513012,"Testicular hypogonadism, NOS",2025-09-01
764311000124116,Black olive (substance),2025-09-01
744471000124112,History of adenectomy (situation),2025-09-01
374899011,Postcoital cervical mucus sperm count,2025-09-01
2789624017,Thermococcus fumicolans (organism),2025-09-01
5089008011,Diphtheria and acellular pertussis and Haemophilus influenzae type b and hepatitis B and inactivated poliomyelitis and tetanus vaccine,2025-09-01
2786121013,Measurement of free carbamazepine (procedure),2025-09-01
521685015,Saliva sample sent to lab,2025-09-01
1482506018,Other specific immunoglobulin E,2025-09-01
2880577012,Genus Vidua (organism),2025-09-01
445468018,Fiberoptic esophagoscopy NEC,2025-09-01
1471733010,Manipulation of the inferior radioulnar joint - non-surgical (regime/therapy),2025-09-01
1843521000124110,Evaluation of eligibility for energy shutoff protection program (procedure),2025-09-01
201129014,Contact dermatitis due to other specified agents -RETIRED-,2025-09-01
359993011,Toe injury NEC due to birth trauma,2025-09-01
75540013,Rhodococcus chubuensis,2025-09-01
3456557014,Entire vestibule of tricuspid valve,2025-09-01
2716558010,Pi-meson therapy (regime/therapy),2025-09-01
3724347016,Brachydactyly of finger of both hands,2025-09-01
128056010,Tooth 23,2025-09-01
337693014,Headmistress,2025-09-01
4628907016,Product containing precisely hydromorphone hydrochloride 20 milligram/1 milliliter conventional release solution for injection (clinical drug),2025-09-01
5286125014,Periostitis of left orbit (disorder),2025-09-01
5424535017,Tuberculosis of bone of lower leg,2025-09-01
621029012,Excision of vegetations from atrioventricular valve (procedure),2025-09-01
632814018,Entire subhepatic region (body structure),2025-09-01
114123015,Injury of celiac AND/OR mesenteric arteries,2025-09-01
1196859014,Procedure on visual system (procedure),2025-09-01
2473557017,Artemisia absinthium specific extract,2025-09-01
764411012,Polymerization (finding),2025-09-01
55793012,Capillary protectant,2025-09-01
73360018,"Hypoactivity, NOS",2025-09-01
380721011,Antegrade by native vessel,2025-09-01
595564013,"Cortex laceration without mention of open intracranial wound, with concussion, unspecified (disorder)",2025-09-01
1772306016,Salmonella Ordonez (organism),2025-09-01
2711854019,Retired procedure (procedure),2025-09-01
588739014,Retired procedure,2025-09-01
3746704012,Product containing glucagon-like peptide 1 receptor agonist (product),2025-09-01
2898686011,Common arterial trunk with obstruction of aortic arch (disorder),2025-09-01
1303691000124116,Honorable discharge from military service (finding),2025-09-01
3009589012,"Endometrioid stromal sarcoma, high grade",2025-09-01
796153013,Thysaniezia giardi (organism),2025-09-01
754389016,Anuria (finding),2025-09-01
733877011,At risk for self-directed violence (finding),2025-09-01
543803011,Patient examined NOS (context-dependent category),2025-09-01
228980011,Postmortem examination,2025-09-01
48375016,Eastern tiger salamander,2025-09-01
566923010,Phenylpyruvate measurement (procedure),2025-09-01
281290011,Styloid process of ulna,2025-09-01
489811016,Finding of odor of smegma,2025-09-01
361150012,Videoswallow,2025-09-01
743558016,Blood group antibody Ny^a^ (substance),2025-09-01
324897011,Loosening of external fixator pin,2025-09-01
2966167017,Fetal or neonatal effect of persistent occipitoposterior position (disorder),2025-09-01
2579528015,Advice about drug side effects,2025-09-01
3307771018,Bankson Language Test score,2025-09-01
587876017,Bursitis of shoulder,2025-09-01
779441000124119,Yale global tic severity scale (assessment scale),2025-09-01
2153340018,Parenteral form epinephrine (product),2025-09-01
556016014,Other operations on esophagus (procedure),2025-09-01
377391013,Double outlet left atrium,2025-09-01
3969188012,Adult vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae toxoids (medicinal product),2025-09-01
389276014,Bipedicled flap,2025-09-01
524764014,Skin swab culture negative,2025-09-01
326179015,"Motor vehicle traffic accident involving pedestrian dragged by motor vehicle, pedestrian injured",2025-09-01
489159019,Urea level - finding,2025-09-01
